accessCount,identifier,identifierType,category,outOfProcess,type,intervalBegin,intervalEnd,intervalBeginMs,intervalEndMs
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-17T22:00:05.280Z,2024-09-17T22:01:20.132Z,0,260
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-17T22:28:40.926Z,2024-09-17T22:29:55.836Z,5963,6224
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-17T22:28:59.113Z,2024-09-17T22:29:59.438Z,6026,6236
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-17T22:28:59.114Z,2024-09-17T22:30:03.784Z,6027,6251
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-17T22:28:59.115Z,2024-09-17T22:30:14.033Z,6027,6287
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-17T22:28:59.116Z,2024-09-17T22:30:04.114Z,6027,6252
0,com.apple.MobileAddressBook,bundleID,contacts,,access,2024-09-17T22:29:00.742Z,2024-09-17T22:30:02.919Z,6032,6248
0,com.apple.Fitness,bundleID,contacts,,access,2024-09-17T22:29:02.153Z,2024-09-17T22:30:14.172Z,6037,6287
0,com.apple.Bridge,bundleID,photos,,access,2024-09-17T22:30:05.255Z,2024-09-17T22:31:20.196Z,6256,6517
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-17T22:30:21.823Z,2024-09-17T22:31:36.805Z,6314,6575
0,com.apple.weather,bundleID,location,,access,2024-09-17T22:48:44.488Z,2024-09-17T22:48:54.490Z,10147,10181
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-17T22:54:35.892Z,2024-09-17T22:55:37.063Z,11368,11581
0,com.apple.findmy,bundleID,contacts,,access,2024-09-17T23:25:11.426Z,2024-09-17T23:25:11.492Z,17748,17748
0,com.apple.Bridge,bundleID,photos,,access,2024-09-17T23:25:11.520Z,2024-09-17T23:25:11.909Z,17748,17750
0,com.apple.Bridge,bundleID,contacts,,access,2024-09-17T23:25:11.896Z,2024-09-17T23:25:12.064Z,17750,17750
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-17T23:25:18.287Z,2024-09-17T23:26:39.996Z,17772,18056
0,com.apple.weather,bundleID,location,,access,2024-09-17T23:25:18.288Z,2024-09-17T23:25:28.284Z,17772,17807
0,com.apple.findmy,bundleID,contacts,,access,2024-09-17T23:25:27.251Z,2024-09-17T23:25:42.146Z,17803,17855
0,com.apple.Bridge,bundleID,photos,,access,2024-09-17T23:25:27.251Z,2024-09-17T23:25:42.170Z,17803,17855
0,net.whatsapp.WhatsApp,bundleID,contacts,,access,2024-09-17T23:25:27.251Z,2024-09-17T23:26:39.996Z,17803,18056
0,com.apple.Maps,bundleID,contacts,,access,2024-09-17T23:25:27.251Z,2024-09-17T23:26:39.996Z,17803,18056
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-17T23:25:27.254Z,2024-09-17T23:26:42.188Z,17803,18064
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-17T23:25:27.258Z,2024-09-17T23:25:42.152Z,17803,17855
0,com.apple.mobileslideshow,bundleID,contacts,,access,2024-09-17T23:25:27.262Z,2024-09-17T23:25:42.151Z,17803,17855
0,com.apple.Music,bundleID,mediaLibrary,,access,2024-09-17T23:25:27.262Z,2024-09-17T23:25:42.158Z,17803,17855
0,com.apple.mobileslideshow,bundleID,mediaLibrary,,access,2024-09-17T23:25:27.287Z,2024-09-17T23:25:42.151Z,17803,17855
0,com.apple.Fitness,bundleID,contacts,,access,2024-09-17T23:25:27.291Z,2024-09-17T23:25:42.156Z,17803,17855
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-17T23:25:27.323Z,2024-09-17T23:25:42.149Z,17803,17855
0,com.apple.Music,bundleID,mediaLibrary,,access,2024-09-17T23:25:50.070Z,2024-09-17T23:25:50.271Z,17882,17883
0,com.apple.Music,bundleID,mediaLibrary,,access,2024-09-17T23:26:23.514Z,2024-09-17T23:26:23.729Z,17999,17999
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-17T23:29:25.170Z,2024-09-17T23:30:42.543Z,18630,18899
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-17T23:29:25.182Z,2024-09-17T23:30:53.629Z,18630,18937
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-17T23:29:25.185Z,2024-09-17T23:30:57.523Z,18630,18951
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-17T23:29:25.186Z,2024-09-17T23:30:42.845Z,18630,18900
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-17T23:29:25.187Z,2024-09-17T23:30:52.176Z,18630,18932
0,com.apple.MobileAddressBook,bundleID,contacts,,access,2024-09-17T23:29:26.089Z,2024-09-17T23:30:45.438Z,18633,18909
0,com.apple.Fitness,bundleID,contacts,,access,2024-09-17T23:29:28.256Z,2024-09-17T23:31:00.605Z,18641,18962
0,com.apple.Bridge,bundleID,photos,,access,2024-09-17T23:34:07.974Z,2024-09-17T23:35:08.377Z,19613,19823
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-17T23:55:49.795Z,2024-09-17T23:56:50.070Z,24138,24347
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-18T00:29:36.388Z,2024-09-18T00:30:51.376Z,31182,31443
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-18T00:29:36.390Z,2024-09-18T00:30:43.226Z,31182,31414
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-18T00:29:36.391Z,2024-09-18T00:30:51.376Z,31182,31443
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-18T00:29:36.392Z,2024-09-18T00:30:36.398Z,31182,31391
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-18T00:29:36.392Z,2024-09-18T00:30:36.448Z,31182,31391
0,com.apple.MobileAddressBook,bundleID,contacts,,access,2024-09-18T00:29:37.326Z,2024-09-18T00:30:37.790Z,31185,31395
0,com.apple.Fitness,bundleID,contacts,,access,2024-09-18T00:29:39.564Z,2024-09-18T00:30:54.570Z,31193,31454
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-18T01:29:49.005Z,2024-09-18T01:30:52.179Z,43739,43958
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-18T01:29:49.008Z,2024-09-18T01:30:49.685Z,43739,43950
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-18T01:29:49.008Z,2024-09-18T01:30:49.002Z,43739,43947
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-18T01:29:49.009Z,2024-09-18T01:30:59.079Z,43739,43982
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-18T01:29:49.009Z,2024-09-18T01:31:03.996Z,43739,43999
0,com.apple.MobileAddressBook,bundleID,contacts,,access,2024-09-18T01:29:49.849Z,2024-09-18T01:30:51.577Z,43742,43956
0,com.apple.Fitness,bundleID,contacts,,access,2024-09-18T01:29:52.149Z,2024-09-18T01:31:04.004Z,43750,43999
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-18T02:25:26.033Z,2024-09-18T02:27:30.010Z,55338,55769
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-18T02:36:03.201Z,2024-09-18T02:37:03.260Z,57552,57761
0,com.apple.mobilemail,bundleID,contacts,,access,2024-09-18T02:36:03.203Z,2024-09-18T02:37:04.459Z,57552,57765
0,com.apple.mobilecal,bundleID,contacts,,access,2024-09-18T02:36:03.204Z,2024-09-18T02:37:18.110Z,57552,57813
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-18T02:36:03.204Z,2024-09-18T02:37:08.266Z,57552,57779
0,com.apple.MobileSMS,bundleID,contacts,,access,2024-09-18T02:36:03.205Z,2024-09-18T02:37:18.110Z,57552,57813
